Grupo,"ID do Sensor","Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
1,0102,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0103,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0104,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0107,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0102,000025.510,000037.359,00001009.0,000036.650,00000,00000
1,0103,000025.690,000036.391,00001009.0,000036.650,00000,00000
1,0104,000025.559,000028.227,00001009.0,000036.650,00771,00056
1,0107,000024.889,0000029.34,00001009.0,000036.650,00807,00062
1,0108,000024.639,000030.647,00001009.0,000036.650,00711,00047
1,0109,000025.430,0000038.92,00001010.0,0000028.15,00000,00000
1,0102,000025.389,000037.280,00001009.0,000036.650,00000,00000
1,0103,000025.610,000036.316,00001009.0,000036.650,00000,00000
1,0104,000025.489,000028.122,00001009.0,000036.650,00857,00069
1,0107,000024.719,000029.170,00001009.0,000036.650,00882,00073
1,0108,000024.819,000030.216,00001009.0,000036.650,00834,00066
1,0109,000025.420,000038.208,00001010.0,0000028.15,00000,00000
1,0102,000025.159,000036.784,00001009.0,000036.650,00000,00000
1,0103,000025.149,000036.325,00001009.0,000036.650,00000,00000
1,0104,000025.579,000027.237,00001009.0,000036.650,00771,00056
1,0107,0000025.90,000027.636,00001009.0,000036.650,00775,00057
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.299,000036.896,00001010.0,0000028.15,00000,00000
1,0102,000025.370,000035.128,00001010.0,0000028.15,00000,00000
1,0103,000025.290,000034.444,00001010.0,0000028.15,00000,00000
1,0104,000025.719,000025.941,00001009.0,000036.650,00630,00035
1,0107,000025.120,000026.709,00001009.0,000036.650,00612,00032
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.370,000035.541,00001010.0,0000028.15,00000,00000
1,0102,000025.219,000035.302,00001010.0,0000028.15,00000,00000
1,0103,000025.329,000034.541,00001010.0,0000028.15,00000,00000
1,0104,000025.590,000026.209,00001009.0,000036.650,00551,00023
1,0107,000024.870,000026.980,00001009.0,000036.650,00548,00022
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.360,000035.758,00001010.0,0000028.15,00000,00000
1,0102,000025.350,000035.104,00001010.0,0000028.15,00000,00000
1,0103,000025.370,000034.567,00001010.0,0000028.15,00000,00000
1,0104,000025.479,000026.428,00001009.0,000036.650,00527,00019
1,0107,000024.780,000027.209,00001009.0,000036.650,00515,00017
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.389,000035.391,00001010.0,0000028.15,00000,00000
1,0102,000025.329,000035.114,00001010.0,0000028.15,00000,00000
1,0103,000025.479,000034.236,00001010.0,0000028.15,00000,00000
1,0104,000025.809,000025.920,00001009.0,000036.650,00501,00015
1,0107,0000025.69,000026.769,00001009.0,000036.650,00515,00017
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.360,000035.621,00001011.0,000019.388,00000,00000
1,0102,000025.459,000034.997,00001010.0,0000028.15,00000,00000
1,0103,000025.709,000033.961,00001010.0,0000028.15,00000,00000
1,0104,000025.680,000026.251,00001009.0,000036.650,00482,00012
1,0107,000024.959,0000027.34,00001009.0,000036.650,00495,00014
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.559,000035.267,00001011.0,000019.388,00000,00000
1,0102,000025.500,0000035.81,00001010.0,0000028.15,00000,00000
1,0103,000025.879,000033.716,00001010.0,0000028.15,00000,00000
1,0104,000025.760,000026.156,00001010.0,0000028.15,00462,00009
1,0107,000025.190,000026.689,00001010.0,0000028.15,00480,00012
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.719,0000035.14,00001011.0,000019.388,00000,00000
1,0102,000025.540,000035.211,00001010.0,0000028.15,00000,00000
1,0103,000025.879,000033.997,00001010.0,0000028.15,00000,00000
1,0104,000025.860,000026.212,00001010.0,0000028.15,00462,00009
1,0107,000025.200,000026.887,00001010.0,0000028.15,00480,00012
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.750,000035.248,00001011.0,000019.388,00000,00000
1,0102,000025.729,000034.750,00001011.0,000019.388,00000,00000
1,0103,000025.879,000033.927,00001011.0,000019.388,00000,00000
1,0104,000025.780,000026.408,00001010.0,0000028.15,00462,00009
1,0107,000025.159,000026.922,00001010.0,0000028.15,00462,00009
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.829,0000035.80,00001011.0,000019.388,00000,00000
1,0102,000025.639,000034.928,00001010.0,0000028.15,00000,00000
1,0103,000025.930,000033.755,00001010.0,0000028.15,00000,00000
1,0104,000025.930,0000026.41,00001010.0,0000028.15,00445,00006
1,0107,000025.280,000026.880,00001010.0,0000028.15,00462,00009
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.870,000034.991,00001011.0,000019.388,00000,00000
1,0102,000025.659,000034.917,00001011.0,000019.388,00000,00000
1,0103,000026.110,000033.511,00001011.0,000019.388,00000,00000
1,0104,0000026.10,0000026.20,00001010.0,0000028.15,00445,00006
1,0107,000025.260,000026.817,00001010.0,0000028.15,00450,00007
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.899,0000035.51,00001011.0,000019.388,00000,00000
1,0102,000025.889,000034.424,00001011.0,000019.388,00000,00000
1,0103,000025.979,000033.677,00001011.0,000019.388,00000,00000
1,0104,000025.969,000025.967,00001010.0,0000028.15,00426,00003
1,0107,000025.299,000026.771,00001010.0,0000028.15,00450,00007
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,0000026.20,000034.737,00001012.0,000010.766,00000,00000
1,0102,000025.770,000035.916,00001010.0,0000028.15,00000,00000
1,0103,0000026.59,000034.784,00001010.0,0000028.15,00000,00000
1,0104,0000026.10,000026.924,00001010.0,0000028.15,00426,00003
1,0107,000025.309,000027.600,00001010.0,0000028.15,00422,00003
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.979,000035.624,00001011.0,000019.388,00000,00000
1,0102,000025.829,000036.490,00001011.0,000019.388,00000,00000
1,0103,000026.139,000035.211,00001010.0,0000028.15,00000,00000
1,0104,0000026.90,000027.305,00001010.0,0000028.15,00426,00003
1,0107,000025.559,000027.864,00001010.0,0000028.15,00422,00003
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,0000026.10,000036.654,00001011.0,000019.388,00000,00000
1,0102,000025.739,000037.332,00001011.0,000019.388,00000,00000
1,0103,000026.159,000035.951,00001011.0,000019.388,00000,00000
1,0104,0000026.90,000027.745,00001010.0,0000028.15,00411,00001
1,0107,000025.420,000028.547,00001010.0,0000028.15,00410,00001
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,0000026.30,000037.105,00001011.0,000019.388,00000,00000
1,0102,000025.770,000037.194,00001011.0,000019.388,00000,00000
1,0103,000026.190,000035.765,00001011.0,000019.388,00000,00000
1,0104,0000026.20,000027.791,00001010.0,0000028.15,00415,00002
1,0107,000025.469,000028.402,00001010.0,0000028.15,00410,00001
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,0000026.69,0000037.96,00001012.0,000010.766,00000,00000
1,0102,000025.889,000036.809,00001011.0,000019.388,00000,00000
1,0103,000025.989,0000036.31,00001011.0,000019.388,00000,00000
1,0104,000026.100,000027.695,00001010.0,0000028.15,00400,00000
1,0107,000025.329,000028.604,00001010.0,0000028.15,00413,00001
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.959,000037.353,00001012.0,000010.766,00000,00000
1,0102,000025.709,000038.399,00001011.0,000019.388,00000,00000
1,0103,000025.930,000037.335,00001011.0,000019.388,00000,00000
1,0104,000025.899,000028.800,00001010.0,0000028.15,00450,00007
1,0107,000025.329,000029.359,00001010.0,0000028.15,00450,00007
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000025.920,000038.249,00001012.0,000010.766,00000,00000
1,0102,000025.790,000038.278,00001011.0,000019.388,00000,00000
1,0103,000026.100,0000037.92,00001011.0,000019.388,00000,00000
1,0104,0000026.40,000028.683,00001010.0,0000028.15,00482,00012
1,0107,000025.459,000029.281,00001010.0,0000028.15,00480,00012
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,0000026.10,000038.384,00001011.0,000019.388,00000,00000
1,0102,000025.760,000037.228,00001011.0,000019.388,00000,00000
1,0103,00000026.0,000036.113,00001011.0,000019.388,00000,00000
1,0104,000026.239,000027.691,00001010.0,0000028.15,00482,00012
1,0107,000025.680,000028.316,00001010.0,0000028.15,00462,00009
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,0000026.59,000037.799,00001011.0,000019.388,00000,00000
1,0102,000025.889,000036.507,00001011.0,000019.388,00000,00000
1,0103,000026.110,000035.525,00001011.0,000019.388,00000,00000
1,0104,000026.260,000027.215,00001010.0,0000028.15,00462,00009
1,0107,000025.809,000027.953,00001010.0,0000028.15,00450,00007
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.129,000037.563,00001011.0,000019.388,00000,00000
1,0102,000025.889,000036.251,00001011.0,000019.388,00000,00000
1,0103,000026.110,000035.220,00001010.0,0000028.15,00000,00000
1,0104,000026.260,0000027.52,00001010.0,0000028.15,00445,00006
1,0107,000025.819,000027.656,00001010.0,0000028.15,00450,00007
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.129,000037.356,00001011.0,000019.388,00000,00000
1,0102,000025.940,000036.663,00001010.0,0000028.15,00000,00000
1,0103,000026.149,000035.856,00001011.0,000019.388,00000,00000
1,0104,000026.190,000027.587,00001010.0,0000028.15,00445,00006
1,0107,000025.629,000028.227,00001010.0,0000028.15,00450,00007
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.129,0000037.67,00001011.0,000019.388,00000,00000
1,0102,000025.959,000036.571,00001011.0,000019.388,00000,00000
1,0103,000026.180,000035.589,00001010.0,0000028.15,00000,00000
1,0104,000026.309,000027.318,00001010.0,0000028.15,00445,00006
1,0107,000025.790,000027.877,00001010.0,0000028.15,00462,00009
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.219,0000037.75,00001011.0,000019.388,00000,00000
1,0102,0000026.49,000036.229,00001011.0,000019.388,00000,00000
1,0103,000026.200,000035.403,00001011.0,000019.388,00000,00000
1,0104,000026.219,000027.326,00001010.0,0000028.15,00445,00006
1,0107,000025.899,000027.796,00001010.0,0000028.15,00450,00007
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.290,000036.780,00001011.0,000019.388,00000,00000
1,0102,000025.959,000036.559,00001011.0,000019.388,00000,00000
1,0103,000026.190,000035.589,00001011.0,000019.388,00000,00000
1,0104,000026.180,000027.437,00001010.0,0000028.15,00445,00006
1,0107,000025.899,000027.809,00001010.0,0000028.15,00436,00005
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.299,000036.781,00001011.0,000019.388,00000,00000
1,0102,0000026.90,000036.441,00001010.0,0000028.15,00000,00000
1,0103,000026.280,000035.492,00001011.0,000019.388,00000,00000
1,0104,000026.149,000027.560,00001010.0,0000028.15,00426,00003
1,0107,000025.940,000027.799,00001010.0,0000028.15,00436,00005
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.319,000036.817,00001011.0,000019.388,00000,00000
1,0102,0000026.59,000036.567,00001010.0,0000028.15,00000,00000
1,0103,000026.329,000035.449,00001010.0,0000028.15,00000,00000
1,0104,000026.129,000027.634,00001010.0,0000028.15,00426,00003
1,0107,000025.969,000027.801,00001010.0,0000028.15,00436,00005
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.319,000036.920,00001011.0,000019.388,00000,00000
1,0102,0000026.40,000036.461,00001010.0,0000028.15,00000,00000
1,0103,000026.329,000035.460,00001010.0,0000028.15,00000,00000
1,0104,000026.200,000027.588,00001010.0,0000028.15,00411,00001
1,0107,000025.959,000027.763,00001010.0,0000028.15,00422,00003
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
1,0109,000026.329,000036.840,00001011.0,000019.388,00000,00000
1,0102,000026.120,000036.921,00001010.0,0000028.15,00000,00000
1,0103,000026.329,000035.800,00001010.0,0000028.15,00000,00000
1,0104,000026.260,000027.781,00001010.0,0000028.15,00426,00003
1,0107,000025.709,000028.355,00001010.0,0000028.15,00436,00005
1,0108,0000000000,0000000000,0000000000,0000000000,00000,00000
