Grupo,Hora,"ID do Sensor","Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
3,00:06:10,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:06:14,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:06:18,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:06:30,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:16:28,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:16:32,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:16:36,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:16:48,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:26:18,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:26:22,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:26:26,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:26:38,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:36:45,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:36:57,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:46:53,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:46:57,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:47:01,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:47:13,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:57:04,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:57:08,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:57:12,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,00:57:24,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:07:21,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:07:25,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:07:28,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:07:38,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:17:19,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:17:23,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:17:27,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:17:39,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:27:21,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:27:25,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:27:29,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:27:41,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:37:34,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:37:38,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:37:42,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:37:54,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:47:21,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:47:22,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:47:25,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:47:37,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:56:38,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:56:41,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:56:45,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,01:56:55,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:05:33,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:05:36,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:05:38,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:05:46,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:15:19,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:15:23,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:15:27,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:15:38,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:25:24,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:25:28,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:25:30,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:25:37,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:35:34,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:35:38,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:35:42,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:35:53,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:45:45,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:45:49,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:45:52,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:46:03,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:55:34,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:55:38,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:55:42,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,02:55:53,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:05:54,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:05:58,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:06:02,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:06:14,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:16:17,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:26:14,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:26:18,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:26:22,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:26:33,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:36:33,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:36:37,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:36:41,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:36:53,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:46:50,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:46:54,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
